Red,Green,Blue,Clear,ColorTemp,Lux
2399,3540,2627,9020,5800,2885
2400,3540,2628,9019,5802,2884
2479,3622,2653,9196,5669,2970
2278,3255,2327,8267,5429,2694
2279,3273,2346,8271,5461,2709
2094,2805,2186,7660,5926,2147
2303,3316,2456,8631,5713,2688
2309,3253,2339,8302,5429,2672
2354,3364,2498,8659,5712,2717
2378,3477,2565,8855,5726,2838
2324,3350,2444,8534,5600,2744
2328,3247,2422,8493,5674,2596
