Color
b
e
n
w
b
b
e
b
b
e
e
e
e
b
b
e
e
b
b
b
e
e
w
w
w
w
w
w
w
w
w
n
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
w
e
e
e
e
e
e
e
e
w
w
w
w
w
w
w
b
b
b
w
w
w
b
b
b
b
b
b
b
e
b
b
b
b
b
b
b
e
b
e
b
e
b
e
e
e
e
e
e
b
w
w
b
b
n
e
w
n
b
w
b
w
n
e
b
w
b
w
e
b
w
w
w
b
w
b
n
e
n
e
b
b
w
n
b
n
e
b
w
b
w
b
b
n
w
